City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Koryukivka,UA,51.7688,32.2481,63.34,87,100,7.94,moderate rain
80,Two Rivers,US,44.1539,-87.5693,74.07,85,90,1.99,overcast clouds
81,Tiksi,RU,71.6872,128.8694,41.54,80,21,14.18,few clouds
82,Cayenne,GF,4.9333,-52.3333,82.09,81,6,3.0,clear sky
83,Pacific Grove,US,36.6177,-121.9166,85.44,83,31,3.0,scattered clouds
84,Avera,US,33.194,-82.5271,81.91,65,83,2.89,broken clouds
85,Alofi,NU,-19.0595,-169.9187,75.09,94,75,5.75,light rain
86,Palana,RU,59.1167,159.9667,48.09,94,100,8.39,overcast clouds
87,Zyryanovsk,KZ,49.7386,84.2719,60.6,66,80,1.59,broken clouds
88,Severo-Kurilsk,RU,50.6789,156.125,58.84,91,100,7.14,overcast clouds
89,Hithadhoo,MV,-0.6,73.0833,80.46,78,72,8.86,broken clouds
90,Leiyang,CN,26.4024,112.8591,90.66,56,6,5.26,clear sky
91,Ratnagiri,IN,16.9833,73.3,80.04,83,82,15.7,broken clouds
92,Kilindoni,TZ,-7.9139,39.6668,75.25,74,0,17.78,light rain
93,Noumea,NC,-22.2763,166.4572,76.98,99,20,13.94,few clouds
94,Barrow,US,71.2906,-156.7887,42.82,87,90,19.57,mist
95,Sioux Lookout,CA,50.1001,-91.917,77.38,64,40,0.0,smoke
96,Qasigiannguit,GL,68.8193,-51.1922,48.94,79,97,9.57,overcast clouds
97,Togur,RU,58.3631,82.8265,60.82,64,88,5.68,overcast clouds
98,Wuchi,CN,29.3786,103.023,71.76,59,38,0.54,scattered clouds
99,San Quintin,MX,30.4833,-115.95,71.11,80,1,13.44,clear sky
100,Ushirombo,TZ,-3.4919,31.9639,65.5,44,96,4.03,overcast clouds
101,Abbeville,FR,50.1,1.8333,62.56,95,55,11.56,broken clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,90.61,70,6,11.01,clear sky
103,Port Alfred,ZA,-33.5906,26.891,60.94,85,16,15.01,few clouds
104,Vanavara,RU,60.34,102.2797,82.96,37,0,1.68,clear sky
105,Xuddur,SO,4.1213,43.8894,70.63,72,100,16.93,overcast clouds
106,Talnakh,RU,69.4865,88.3972,62.55,85,94,3.67,overcast clouds
107,Faanui,PF,-16.4833,-151.75,77.79,75,55,8.99,light rain
108,Zhigansk,RU,66.7697,123.3711,61.36,55,75,11.43,broken clouds
109,Bud,US,39.447,-86.1758,80.06,82,0,0.34,clear sky
110,Mataura,NZ,-46.1927,168.8643,52.48,74,68,1.28,broken clouds
111,Georgetown,MY,5.4112,100.3354,84.88,80,20,1.01,few clouds
112,Pacifica,US,37.6138,-122.4869,90.57,78,20,3.0,few clouds
113,Tessalit,ML,20.1986,1.0114,85.93,44,87,11.41,overcast clouds
114,Brae,GB,60.3964,-1.353,55.31,95,99,6.13,overcast clouds
115,Chokurdakh,RU,70.6333,147.9167,49.71,46,70,13.6,broken clouds
116,Parrita,CR,9.5201,-84.3225,84.25,88,99,4.05,overcast clouds
117,Bonthe,SL,7.5264,-12.505,76.62,85,100,10.38,light rain
118,Perth,AU,-31.9333,115.8333,58.66,95,75,10.36,light rain
119,Salym,RU,60.0625,71.4789,53.04,84,30,6.71,scattered clouds
120,Roald,NO,62.5833,6.1333,67.15,94,75,3.44,broken clouds
121,Upernavik,GL,72.7868,-56.1549,50.25,72,97,10.42,overcast clouds
122,Quatre Cocos,MU,-20.2078,57.7625,67.08,91,100,16.67,moderate rain
123,Iqaluit,CA,63.7506,-68.5145,49.73,61,40,10.0,scattered clouds
124,Sinnamary,GF,5.3833,-52.95,77.72,86,5,7.38,clear sky
125,Chicama,PE,-7.8447,-79.1469,63.14,85,80,6.29,broken clouds
126,Cambridge,CA,43.3601,-80.3127,70.99,85,1,3.44,clear sky
127,Negara,ID,-8.3151,114.6025,80.6,63,34,7.0,scattered clouds
128,Haines Junction,CA,60.7522,-137.5108,64.35,55,43,8.05,scattered clouds
129,Hambantota,LK,6.1241,81.1185,77.34,94,100,4.61,overcast clouds
130,Thompson,CA,55.7435,-97.8558,69.96,56,75,4.61,broken clouds
131,Saint-Philippe,RE,-21.3585,55.7679,67.59,86,99,12.75,light rain
132,Andenes,NO,69.3143,16.1194,50.07,100,90,10.36,fog
133,Buin,CL,-33.7333,-70.75,52.74,44,0,4.38,clear sky
134,Kodiak,US,57.79,-152.4072,58.1,78,95,3.06,overcast clouds
135,Kandrian,PG,-6.2167,149.55,82.65,78,32,5.84,light rain
136,Kirakira,SB,-10.4544,161.9205,85.17,67,64,12.3,broken clouds
137,Ketchikan,US,55.3422,-131.6461,61.18,71,18,3.18,few clouds
138,Orsha,BY,54.5153,30.4053,63.84,95,100,8.08,overcast clouds
139,Lorengau,PG,-2.0226,147.2712,84.11,74,4,6.15,clear sky
140,Narsaq,GL,60.9167,-46.05,46.92,73,99,3.18,overcast clouds
141,Shiloh,US,38.5614,-89.8973,83.08,88,1,0.0,clear sky
142,Yendi,GH,9.4427,-0.0099,73.15,91,100,5.61,light rain
143,Middelburg,ZA,-25.7751,29.4648,40.68,54,0,1.77,clear sky
144,Cidreira,BR,-30.1811,-50.2056,47.19,56,4,18.23,clear sky
145,Inongo,CD,-1.95,18.2667,66.04,51,7,2.28,clear sky
146,Constitucion,CL,-35.3333,-72.4167,45.09,77,0,7.11,clear sky
147,Chuy,UY,-33.6971,-53.4616,42.22,70,29,16.02,scattered clouds
148,Neiafu,TO,-18.65,-173.9833,77.68,83,90,4.61,light intensity shower rain
149,Ilulissat,GL,69.2167,-51.1,46.81,80,100,8.41,overcast clouds
150,Port Macquarie,AU,-31.4333,152.9167,74.89,37,1,9.69,clear sky
151,Katsuura,JP,35.1333,140.3,86.11,77,100,19.69,overcast clouds
152,Sikasso,ML,10.9167,-7.0,74.77,89,100,4.45,overcast clouds
153,Camabatela,AO,-8.1881,15.375,54.07,52,28,1.1,scattered clouds
154,Biak,ID,-0.9131,122.8766,81.75,71,89,6.98,overcast clouds
155,Vangaindrano,MG,-23.35,47.6,63.61,90,67,6.49,light rain
156,Kogon,UZ,39.7228,64.5517,80.24,29,0,16.11,clear sky
157,Saldanha,ZA,-33.0117,17.9442,53.65,67,100,5.82,overcast clouds
158,Bambous Virieux,MU,-20.3428,57.7575,67.21,94,75,17.27,moderate rain
159,Umea,SE,63.8284,20.2597,62.53,82,84,4.61,broken clouds
160,Khani,GE,41.9563,42.9566,62.17,94,98,2.26,overcast clouds
161,Tasiilaq,GL,65.6145,-37.6368,36.27,80,22,7.16,few clouds
162,Stepnyak,KZ,52.8339,70.7803,59.67,54,100,11.63,overcast clouds
163,Karratha,AU,-20.7377,116.8463,74.97,51,7,5.95,clear sky
164,Howard Springs,AU,-12.497,131.047,84.97,71,58,4.41,broken clouds
165,Lata,PT,40.1629,-8.3327,61.92,98,25,1.41,scattered clouds
166,Ayagoz,KZ,47.9714,80.4392,63.23,45,0,11.45,clear sky
167,Sakakah,SA,29.9697,40.2064,87.37,26,0,6.31,clear sky
168,Carnarvon,AU,-24.8667,113.6333,66.27,55,100,8.05,overcast clouds
169,Tukrah,LY,32.5341,20.5791,75.31,77,0,8.75,clear sky
170,Luderitz,NA,-26.6481,15.1594,54.57,73,0,8.81,clear sky
171,Bandarbeyla,SO,9.4942,50.8122,79.29,51,46,27.54,scattered clouds
172,Santa Maria,BR,-29.6842,-53.8069,42.1,61,0,9.22,clear sky
173,Payo,ID,-3.7508,103.6372,80.24,52,49,1.21,scattered clouds
174,Namatanai,PG,-3.6667,152.4333,85.57,65,16,4.29,few clouds
175,Sabalgarh,IN,26.25,77.4,80.15,83,100,13.98,overcast clouds
176,Bubaque,GW,11.2833,-15.8333,80.33,81,100,10.33,light rain
177,Kosh-Agach,RU,50.0,88.6667,56.48,67,3,1.74,clear sky
178,Margate,GB,51.3813,1.3862,64.04,86,99,5.01,overcast clouds
179,Paoua,CF,7.2427,16.4406,66.87,94,100,1.83,overcast clouds
180,Ponta Do Sol,PT,32.6667,-17.1,72.23,78,4,4.88,clear sky
